start_tx_time,end_tx_time,start_packet_time, end_packet_time, center_freq,phy_address,modulation,coding_rate,power_level,abort_time,recheck_time,packet_size,packet
1001002,1011002,1001002,1011002,0.000000,0x8E89BED6,16,0,-0.097656,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 04
2001024,2011024,2001024,2011024,0.000000,0x8E89BED6,16,0,1.699219,18446744073709551615,18446744073709551615,6,28 01 02 03 04 05
3000962,3010962,3000962,3010962,0.000000,0x8E89BED6,16,0,1.296875,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 45
4001076,4011076,4001076,4011076,-0.007812,0x8E89BED6,16,0,0.796875,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
5001086,5011086,5001086,5011086,0.000000,0x8E89BED6,16,0,-2.398438,18446744073709551615,18446744073709551615,6,8A 01 02 0B 04 05
6001088,6011088,6001088,6011088,0.000000,0x8E89BED6,16,0,0.796875,18446744073709551615,18446744073709551615,6,D1 01 02 03 04 05
7001041,7011041,7001041,7011041,0.007812,0x8E89BED6,16,0,1.597656,18446744073709551615,18446744073709551615,6,2A 01 02 03 04 05
8001099,8011099,8001099,8011099,0.000000,0x8E89BED6,16,0,2.199219,18446744073709551615,18446744073709551615,6,A8 01 02 03 04 05
9001016,9011016,9001016,9011016,0.000000,0x8E89BED6,16,0,1.796875,18446744073709551615,18446744073709551615,6,2A 01 02 03 04 05
10001048,10011048,10001048,10011048,0.003906,0x8E89BED6,16,0,1.296875,18446744073709551615,18446744073709551615,6,2A 01 02 03 04 05
11001003,11011003,11001003,11011003,-0.003906,0x8E89BED6,16,0,-0.398438,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
12000963,12010963,12000963,12010963,-0.003906,0x8E89BED6,16,0,-2.500000,18446744073709551615,18446744073709551615,6,28 21 02 03 04 05
13000959,13010959,13000959,13010959,0.007812,0x8E89BED6,16,0,-0.398438,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
14001083,14011083,14001083,14011083,0.000000,0x8E89BED6,16,0,1.500000,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
15001061,15011061,15001061,15011061,0.000000,0x8E89BED6,16,0,1.500000,18446744073709551615,18446744073709551615,6,C8 01 02 03 04 05
16001019,16011019,16001019,16011019,0.003906,0x8E89BED6,16,0,-1.296875,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
17000976,17010976,17000976,17010976,0.000000,0x8E89BED6,16,0,0.500000,18446744073709551615,18446744073709551615,6,29 01 02 03 04 05
18000967,18010967,18000967,18010967,0.000000,0x8E89BED6,16,0,2.000000,18446744073709551615,18446744073709551615,6,2A 01 02 03 04 05
19000967,19010967,19000967,19010967,-0.003906,0x8E89BED6,16,0,2.097656,18446744073709551615,18446744073709551615,26,C8 01 02 03 04 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
20001096,20011096,20001096,20011096,0.003906,0x8E89BED6,16,0,0.597656,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
21000919,21010919,21000919,21010919,0.000000,0x8E89BED6,16,0,-1.398438,18446744073709551615,18446744073709551615,6,2A 01 02 03 04 05
22001033,22011033,22001033,22011033,-0.003906,0x8E89BED6,16,0,-0.699219,18446744073709551615,18446744073709551615,6,28 01 02 03 04 05
23001018,23011018,23001018,23011018,0.000000,0x8E89BED6,16,0,-1.199219,18446744073709551615,18446744073709551615,6,2B 01 02 23 04 05
24000922,24010922,24000922,24010922,0.000000,0x8E89BED6,16,0,0.597656,18446744073709551615,18446744073709551615,6,23 01 02 03 04 05
25000922,25010922,25000922,25010922,-0.003906,0x8E89BED6,16,0,-2.796875,18446744073709551615,18446744073709551615,6,D2 01 02 03 04 05
26001009,26011009,26001009,26011009,0.000000,0x8E89BED6,16,0,0.199219,18446744073709551615,18446744073709551615,6,2B 05 02 03 04 05
27000943,27010943,27000943,27010943,0.000000,0x8E89BED6,16,0,2.000000,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
28000917,28010917,28000917,28010917,0.000000,0x8E89BED6,16,0,1.199219,18446744073709551615,18446744073709551615,6,2B 01 02 03 04 05
29000974,29010974,29000974,29010974,0.003906,0x8E89BED6,16,0,-0.296875,18446744073709551615,18446744073709551615,6,33 01 02 03 04 05
