start_time,scan_duration,n_addr,phy_address[],modulation,center_freq,antenna_gain,acceptable_pre_truncation,sync_threshold,header_threshold,pream_and_addr_duration,header_duration,error_calc_rate,forced_packet_duration,coding_rate,prelocked_tx,resp_type,abort_time,recheck_time,tx_nbr,matched_addr,tx_coding_rate,biterrors,sync_end,header_end,payload_end,rx_time_stamp,status,RSSI,packet_size,packet
1000000,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,1001041,1001057,1011002,1001041,1,-60.097626,6,2B 01 02 03 04 04
1011012,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,2001063,2001079,2011024,2001063,1,-58.300766,6,28 01 02 03 04 05
2011034,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,3001001,3001017,3010962,3001001,1,-58.703110,6,2B 01 02 03 04 45
3010972,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,5001125,5001141,5011086,5001125,1,-62.398407,6,8A 01 02 0B 04 05
5011096,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,6001127,6001143,6011088,6001127,1,-59.203110,6,D1 01 02 03 04 05
6011098,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,8001138,8001154,8011099,8001138,1,-57.800766,6,A8 01 02 03 04 05
8011109,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,9001055,9001071,9011016,9001055,1,-58.203110,6,2A 01 02 03 04 05
9011026,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,14001122,14001138,14011083,14001122,1,-58.499985,6,2B 01 02 03 04 05
14011093,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,15001100,15001116,15011061,15001100,1,-58.499985,6,C8 01 02 03 04 05
15011071,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,17001015,17001031,17010976,17001015,1,-59.499969,6,29 01 02 03 04 05
17010986,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,18001006,18001022,18010967,18001006,1,-57.999985,6,2A 01 02 03 04 05
18010977,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,21000958,21000974,21010919,21000958,1,-61.398407,6,2A 01 02 03 04 05
21010929,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,23001057,23001073,23011018,23001057,1,-61.199188,6,2B 01 02 23 04 05
23011028,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,24000961,24000977,24010922,24000961,1,-59.402328,6,23 01 02 03 04 05
24010932,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,26001048,26001064,26011009,26001048,1,-59.800751,6,2B 05 02 03 04 05
26011019,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,27000982,27000998,27010943,27000982,1,-57.999985,6,2B 01 02 03 04 05
27010953,100000000,1,"[0x8e89bed6]", 16,0.000000,0.000000,0,3,3,40,16,1000000,4294967295,0,0,0,18446744073709551615,18446744073709551615,1,0x8e89bed6,0,0,28000956,28000972,28010917,28000956,1,-58.800766,6,2B 01 02 03 04 05
